model,feature_space,lambda,C,train_accuracy,accuracy,precision,recall,f1,train_mse,val_mse
Logistic Regression,original,0.001,1000.0,0.8776362273846483,0.8812656119900083,0.8104089219330854,0.7041343669250646,0.7535430349118563,0.1223637726153517,0.1187343880099917
Logistic Regression,original,0.01,100.0,0.8776362273846483,0.8812656119900083,0.8104089219330854,0.7041343669250646,0.7535430349118563,0.1223637726153517,0.1187343880099917
Logistic Regression,original,0.1,10.0,0.8776362273846483,0.8812656119900083,0.8104089219330854,0.7041343669250646,0.7535430349118563,0.1223637726153517,0.1187343880099917
Logistic Regression,original,1.0,1.0,0.8775648574385326,0.8814321398834305,0.8110119047619048,0.7041343669250646,0.7538035961272476,0.12243514256146737,0.1185678601165695
Logistic Regression,original,10.0,0.1,0.8776005424115905,0.8810990840965862,0.8107302533532041,0.7028423772609819,0.7529411764705882,0.12239945758840953,0.11890091590341378
Logistic Regression,original,100.0,0.01,0.8787781465224994,0.8815986677768526,0.8192219679633868,0.6937984496124031,0.751311647429171,0.12122185347750059,0.11840133222314742
Logistic Regression,original,1000.0,0.001,0.8796702708489456,0.8817651956702748,0.8923220973782772,0.6156330749354005,0.7285932721712538,0.12032972915105444,0.11823480432972522
Logistic Regression,poly_deg2,0.001,1000.0,0.9319130714056311,0.9243963363863447,0.8975290697674418,0.7978036175710594,0.844733242134063,0.06808692859436893,0.07560366361365534
Logistic Regression,poly_deg2,0.01,100.0,0.9319130714056311,0.9243963363863447,0.8975290697674418,0.7978036175710594,0.844733242134063,0.06808692859436893,0.07560366361365534
Logistic Regression,poly_deg2,0.1,10.0,0.9319130714056311,0.9243963363863447,0.8975290697674418,0.7978036175710594,0.844733242134063,0.06808692859436893,0.07560366361365534
Logistic Regression,poly_deg2,1.0,1.0,0.9319130714056311,0.9243963363863447,0.8975290697674418,0.7978036175710594,0.844733242134063,0.06808692859436893,0.07560366361365534
Logistic Regression,poly_deg2,10.0,0.1,0.9315919066481105,0.9242298084929226,0.8980335032774945,0.7965116279069767,0.84423142759329,0.06840809335188947,0.07577019150707742
Logistic Regression,poly_deg2,100.0,0.01,0.929165328480177,0.9252289758534554,0.9109947643979057,0.7868217054263565,0.844367417677643,0.07083467151982303,0.07477102414654457
Logistic Regression,poly_deg2,1000.0,0.001,0.9052563965314206,0.9042464612822648,0.9324444444444444,0.6776485788113695,0.7848858959970071,0.09474360346857935,0.09575353871773518
Logistic Regression,poly_deg3,0.001,1000.0,0.9391571209363737,0.9323896752706078,0.9043909348441926,0.8249354005167958,0.8628378378378379,0.06084287906362629,0.06761032472939221
Logistic Regression,poly_deg3,0.01,100.0,0.9391571209363737,0.9323896752706078,0.9043909348441926,0.8249354005167958,0.8628378378378379,0.06084287906362629,0.06761032472939221
Logistic Regression,poly_deg3,0.1,10.0,0.9391571209363737,0.9323896752706078,0.9043909348441926,0.8249354005167958,0.8628378378378379,0.06084287906362629,0.06761032472939221
Logistic Regression,poly_deg3,1.0,1.0,0.9389786960710844,0.9327227310574521,0.9050991501416431,0.8255813953488372,0.8635135135135135,0.06102130392891558,0.06727726894254793
Logistic Regression,poly_deg3,10.0,0.1,0.9392998608286051,0.9328892589508743,0.9057406094968108,0.8255813953488372,0.8638053396417709,0.06070013917139494,0.06711074104912573
Logistic Regression,poly_deg3,100.0,0.01,0.9392284908824894,0.9312239800166527,0.9050678087080657,0.8191214470284238,0.859952526280095,0.060771509117510614,0.06877601998334726
Logistic Regression,poly_deg3,1000.0,0.001,0.9369446526067873,0.9298917568692756,0.9152542372881356,0.8023255813953488,0.8550774526678141,0.06305534739321272,0.07010824313072439
Logistic Regression,kmeans_dist,0.001,1000.0,0.8717838918031617,0.8736053288925895,0.7981859410430839,0.6821705426356589,0.735632183908046,0.12821610819683826,0.12639467110741054
Logistic Regression,kmeans_dist,0.01,100.0,0.8717482068301038,0.8737718567860117,0.7983383685800605,0.6828165374677002,0.7360724233983287,0.1282517931698962,0.12622814321398834
Logistic Regression,kmeans_dist,0.1,10.0,0.8718195767762196,0.8732722731057452,0.7974300831443688,0.6815245478036176,0.7349355625217694,0.12818042322378043,0.12672772689425482
Logistic Regression,kmeans_dist,1.0,1.0,0.8712843021803518,0.8717735220649458,0.7992307692307692,0.6711886304909561,0.7296348314606742,0.1287156978196482,0.12822647793505415
Logistic Regression,kmeans_dist,10.0,0.1,0.8665738857367162,0.866278101582015,0.7996781979082864,0.6421188630490956,0.7122895019706198,0.13342611426328377,0.13372189841798499
Logistic Regression,kmeans_dist,100.0,0.01,0.8482318095849838,0.849458784346378,0.8347193347193347,0.5187338501291989,0.6398406374501993,0.1517681904150162,0.150541215653622
Logistic Regression,kmeans_dist,1000.0,0.001,0.7600899261321058,0.7588676103247294,0.9464285714285714,0.06847545219638243,0.12771084337349398,0.2399100738678942,0.24113238967527062
