model,config,hidden_layers,alpha,train_accuracy,accuracy,precision,recall,f1,train_mse,val_mse
Neural Network (MLP),mlp_1layer_64,"(64,)",1e-06,0.9475787745780252,0.9333888426311407,0.9036568213783404,0.8301033591731266,0.8653198653198653,0.052421225421974804,0.06661115736885925
Neural Network (MLP),mlp_1layer_64,"(64,)",1e-05,0.9475787745780252,0.9343880099916736,0.9063380281690141,0.8313953488372093,0.8672506738544474,0.052421225421974804,0.0656119900083264
Neural Network (MLP),mlp_1layer_64,"(64,)",0.0001,0.9472932947935624,0.9362198168193172,0.9110797459421313,0.8339793281653747,0.8708263069139967,0.05270670520643761,0.06378018318068279
Neural Network (MLP),mlp_1layer_64,"(64,)",0.001,0.9468650751168682,0.9347210657785179,0.9058988764044944,0.8333333333333334,0.8681022880215343,0.05313492488313176,0.06527893422148212
Neural Network (MLP),mlp_1layer_64,"(64,)",0.01,0.947150554901331,0.9367194004995837,0.9083916083916084,0.8391472868217055,0.8723975822699799,0.05284944509866896,0.06328059950041631
Neural Network (MLP),mlp_1layer_64,"(64,)",0.1,0.9470078150090997,0.9398834304746045,0.9159074982480728,0.8443152454780362,0.878655462184874,0.052992184990900304,0.06011656952539546
Neural Network (MLP),mlp_1layer_64,"(64,)",1.0,0.9369089676337294,0.9345545378850958,0.9236977256052825,0.8133074935400517,0.8649948471315699,0.06309103236627056,0.06544546211490421
Neural Network (MLP),mlp_2layer_128_64,"(128, 64)",1e-06,0.9699532526852942,0.9137385512073273,0.8370418848167539,0.8262273901808785,0.8315994798439532,0.0300467473147058,0.08626144879267272
Neural Network (MLP),mlp_2layer_128_64,"(128, 64)",1e-05,0.9710238018770296,0.9147377185678601,0.8372395833333334,0.8307493540051679,0.833981841763943,0.028976198122970365,0.08526228143213987
Neural Network (MLP),mlp_2layer_128_64,"(128, 64)",0.0001,0.969988937658352,0.9184013322231473,0.8475689881734559,0.8333333333333334,0.8403908794788274,0.030011062341647965,0.08159866777685265
Neural Network (MLP),mlp_2layer_128_64,"(128, 64)",0.001,0.9679192092209971,0.9155703580349709,0.8334401024983985,0.8404392764857881,0.8369250562881956,0.03208079077900294,0.08442964196502911
Neural Network (MLP),mlp_2layer_128_64,"(128, 64)",0.01,0.9664561253256254,0.926894254787677,0.8709030100334448,0.8410852713178295,0.8557344725599737,0.033543874674374585,0.07310574521232305
Neural Network (MLP),mlp_2layer_128_64,"(128, 64)",0.1,0.956392962923313,0.9328892589508743,0.8803986710963455,0.8559431524547804,0.8679986898132984,0.043607037076687005,0.06711074104912573
Neural Network (MLP),mlp_2layer_128_64,"(128, 64)",1.0,0.948542268850587,0.9445462114904246,0.9152426520847573,0.8649870801033591,0.8894055131185653,0.05145773114941299,0.055453788509575386
Neural Network (MLP),mlp_2layer_64_32,"(64, 32)",1e-06,0.9567854976269493,0.9367194004995837,0.9044321329639889,0.8436692506459949,0.8729946524064172,0.04321450237305069,0.06328059950041631
Neural Network (MLP),mlp_2layer_64_32,"(64, 32)",1e-05,0.957070977411412,0.9355537052456286,0.8984214138641043,0.8456072351421189,0.8712146422628951,0.042929022588587995,0.06444629475437136
Neural Network (MLP),mlp_2layer_64_32,"(64, 32)",0.0001,0.9571423473575278,0.9387177352206495,0.9046639231824417,0.8520671834625323,0.8775781769793746,0.04285765264247221,0.061282264779350504
Neural Network (MLP),mlp_2layer_64_32,"(64, 32)",0.001,0.9569282375191807,0.9358867610324729,0.9024221453287197,0.8423772609819121,0.8713665218843969,0.04307176248081934,0.06411323896752708
Neural Network (MLP),mlp_2layer_64_32,"(64, 32)",0.01,0.9568925525461228,0.9358867610324729,0.8947725729803123,0.851421188630491,0.8725587553790136,0.04310744745387718,0.06411323896752708
Neural Network (MLP),mlp_2layer_64_32,"(64, 32)",0.1,0.95478713913571,0.9413821815154039,0.9135546334716459,0.853359173126615,0.8824315297261189,0.045212860864289994,0.05861781848459613
Neural Network (MLP),mlp_2layer_64_32,"(64, 32)",1.0,0.9471148699282732,0.9407160699417152,0.9209039548022598,0.8423772609819121,0.8798920377867746,0.052885130071726794,0.059283930058284806
Neural Network (MLP),mlp_3layer_128_64_32,"(128, 64, 32)",1e-06,0.9911501266816544,0.9222314737718568,0.8544262295081967,0.8417312661498708,0.8480312398307842,0.008849873318345636,0.07776852622814323
Neural Network (MLP),mlp_3layer_128_64_32,"(128, 64, 32)",1e-05,0.9876529993219855,0.9215653621981682,0.8616521155137676,0.8288113695090439,0.8449127428383273,0.01234700067801453,0.0784346378018318
Neural Network (MLP),mlp_3layer_128_64_32,"(128, 64, 32)",0.0001,0.9871890946722335,0.9189009159034138,0.8363982244768547,0.8520671834625323,0.84416,0.01281090532776652,0.08109908409658617
Neural Network (MLP),mlp_3layer_128_64_32,"(128, 64, 32)",0.001,0.9891874531634729,0.9130724396336386,0.8397350993377484,0.8191214470284238,0.8293001962066711,0.010812546836527104,0.0869275603663614
Neural Network (MLP),mlp_3layer_128_64_32,"(128, 64, 32)",0.01,0.9843342968276059,0.9137385512073273,0.8642149929278642,0.789405684754522,0.8251181634031061,0.01566570317239413,0.08626144879267272
Neural Network (MLP),mlp_3layer_128_64_32,"(128, 64, 32)",0.1,0.9729507904221533,0.9322231473771857,0.8726322664924886,0.8630490956072352,0.8678142253978565,0.027049209577846733,0.0677768526228143
Neural Network (MLP),mlp_3layer_128_64_32,"(128, 64, 32)",1.0,0.9520037112371981,0.9445462114904246,0.9085406859448554,0.8727390180878553,0.8902800658978584,0.04799628876280193,0.055453788509575386
